Store,Date,Shipment
1,2015-08-01,6889.281
1,2015-08-02,0.0
1,2015-08-03,6865.897
1,2015-08-04,6707.1533
1,2015-08-05,6695.4966
1,2015-08-06,6670.643
1,2015-08-07,6640.4556
1,2015-08-08,6766.202
1,2015-08-09,0.0
1,2015-08-10,6603.4644
1,2015-08-11,6652.489
1,2015-08-12,6694.8433
1,2015-08-13,6722.449
1,2015-08-14,6763.7407
3,2015-08-01,5508.4453
3,2015-08-02,7429.751
3,2015-08-03,0.0
3,2015-08-04,6405.7982
3,2015-08-05,6371.4657
3,2015-08-06,6308.296
3,2015-08-07,6448.5655
3,2015-08-08,6349.7038
3,2015-08-09,6503.0961
3,2015-08-10,303.9958
3,2015-08-11,6617.5564
3,2015-08-12,6427.32
3,2015-08-13,6100.9097
3,2015-08-14,5956.8912
7,2015-08-01,6668.2817
7,2015-08-02,0.0
7,2015-08-03,6583.9663
7,2015-08-04,6203.201
7,2015-08-05,6177.747
7,2015-08-06,6280.725
7,2015-08-07,6181.4614
7,2015-08-08,6284.6406
7,2015-08-09,0.0
7,2015-08-10,6104.765
7,2015-08-11,6052.681
7,2015-08-12,6081.238
7,2015-08-13,6250.3237
7,2015-08-14,6274.5737
8,2015-08-01,0.0
8,2015-08-02,0.0
8,2015-08-03,6078.6781
8,2015-08-04,0.0
8,2015-08-05,0.0
8,2015-08-06,0.0
8,2015-08-07,0.0
8,2015-08-08,0.0
8,2015-08-09,0.0
8,2015-08-10,6547.4473
8,2015-08-11,0.0
8,2015-08-12,0.0
8,2015-08-13,0.0
8,2015-08-14,0.0
9,2015-08-01,7127.623
9,2015-08-02,0.0
9,2015-08-03,6931.0303
9,2015-08-04,7001.513
9,2015-08-05,7055.4517
9,2015-08-06,7043.59
9,2015-08-07,7011.2915
9,2015-08-08,6975.8193
9,2015-08-09,0.0
9,2015-08-10,6926.076
9,2015-08-11,7055.7036
9,2015-08-12,7145.0244
9,2015-08-13,7209.884
9,2015-08-14,7228.6147
10,2015-08-01,7067.617
10,2015-08-02,0.0
10,2015-08-03,6801.6763
10,2015-08-04,6943.5825
10,2015-08-05,6961.087
10,2015-08-06,6957.994
10,2015-08-07,6979.474
10,2015-08-08,6884.8823
10,2015-08-09,0.0
10,2015-08-10,6775.4995
10,2015-08-11,6882.818
10,2015-08-12,6912.8223
10,2015-08-13,6977.6816
10,2015-08-14,7037.4277
